policy,run_dir,checkpoint,branch_index,final_cumulative_return,annualized_return,annualized_volatility,max_drawdown,average_turnover,average_constraint_cost
RCPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143223\seed_0,checkpoint_best.pt,7,-0.0057495832443237305,-0.00574978333534637,0.15496652169125877,0.16678102314472198,0.0863105058670044,0.0007802887121215463
RCPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143223\seed_0,checkpoint_best.pt,8,0.14537978172302246,0.1453800871550912,0.16556536264215885,0.17058168351650238,0.110924631357193,0.0016978057101368904
RCPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143223\seed_0,checkpoint_best.pt,9,0.035416245460510254,0.03541688662540343,0.10376691507156595,0.07921482622623444,0.0674033835530281,4.738419738714583e-05
RCPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143223\seed_0,checkpoint_best.pt,10,-0.07982820272445679,-0.0798290066505315,0.18484413272739755,0.20394955575466156,0.10965852439403534,0.0002861440589185804
RCPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143223\seed_0,checkpoint_best.pt,11,-0.026368319988250732,-0.026367772975238735,0.1542949897827587,0.22235403954982758,0.10320417582988739,2.50725202022295e-06
RCPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143223\seed_0,checkpoint_best.pt,12,-0.10682213306427002,-0.10682195832423702,0.17218665365842492,0.22294998168945312,0.09984941780567169,0.0035850319545716047
RCPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143223\seed_0,checkpoint_best.pt,13,0.008143901824951172,0.00814360070353537,0.159046378895648,0.1178772896528244,0.10095297545194626,0.0007084737881086767
RCPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143223\seed_0,checkpoint_best.pt,14,0.044950127601623535,0.04494954629058889,0.16914166701304204,0.21641738712787628,0.10203807801008224,2.0716286599054e-05
RCPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143223\seed_0,checkpoint_best.pt,15,0.027445673942565918,0.027445780185653135,0.13844080770969977,0.10374560952186584,0.08376653492450714,2.8114607630413957e-05
RCPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143223\seed_0,checkpoint_best.pt,16,0.3238241672515869,0.323824347912397,0.14748929434804517,0.09729307889938354,0.10042712092399597,0.005412324797362089
