policy,training_seed,branch_index,run_dir,checkpoint,final_cumulative_return,annualized_return,annualized_volatility,max_drawdown,average_turnover,average_constraint_cost,average_effective_drawdown_budget_squared,average_allocation_constraint_raw_cost,average_concentration,maximum_single_asset_weight
Q80 lambda-up 0.00040,3,3,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_final_q80_lr040_rcpo_none_20260831_200130\seed_3,checkpoint_best_return.pt,-0.32970988750457764,-0.3297103196457477,0.21376877815748427,0.41551047563552856,0.12372969090938568,0.0005932302447035909,0.05114961788058281,0.0,0.227141335606575,0.40552327036857605
Q80 lambda-up 0.00040,3,4,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_final_q80_lr040_rcpo_none_20260831_200130\seed_3,checkpoint_best_return.pt,0.0025964975357055664,0.0025963305860088326,0.1895625528790796,0.16338229179382324,0.1170172169804573,1.8495902622817084e-05,0.005325237289071083,0.0,0.2272370308637619,0.396941602230072
Q80 lambda-up 0.00040,3,5,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_final_q80_lr040_rcpo_none_20260831_200130\seed_3,checkpoint_best_return.pt,0.21502864360809326,0.21502853228452157,0.13426285675750335,0.09667886048555374,0.08596961945295334,1.0991596354870126e-05,0.0029666831251233816,0.0,0.22448040544986725,0.3991408050060272
Q80 lambda-up 0.00040,3,6,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_final_q80_lr040_rcpo_none_20260831_200130\seed_3,checkpoint_best_return.pt,0.0949702262878418,0.09496976258258316,0.18480690589137969,0.13084685802459717,0.11632565408945084,0.0006179020856507123,0.005443105008453131,0.0,0.2242317497730255,0.4050394594669342
Q80 lambda-up 0.00040,3,7,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_final_q80_lr040_rcpo_none_20260831_200130\seed_3,checkpoint_best_return.pt,0.19009888172149658,0.19009851518156928,0.15970498933684082,0.06120361387729645,0.09403814375400543,4.0012833778746426e-05,0.0025276197120547295,0.0,0.22395187616348267,0.39741384983062744
Q80 lambda-up 0.00040,3,8,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_final_q80_lr040_rcpo_none_20260831_200130\seed_3,checkpoint_best_return.pt,0.7501660585403442,0.7501663013353883,0.16306924267158257,0.10559700429439545,0.0975218266248703,0.0003336313529871404,0.002597436076030135,0.0,0.22394795715808868,0.3833213448524475
Q80 lambda-up 0.00040,3,9,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_final_q80_lr040_rcpo_none_20260831_200130\seed_3,checkpoint_best_return.pt,0.13617348670959473,0.13617374709867103,0.1573675195558228,0.14235199987888336,0.09247047454118729,0.0002997055125888437,0.004046711605042219,0.0,0.2234010100364685,0.38598713278770447
Q80 lambda-up 0.00040,3,10,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_final_q80_lr040_rcpo_none_20260831_200130\seed_3,checkpoint_best_return.pt,0.1893984079360962,0.18939751864282184,0.17162137642445238,0.09266258031129837,0.09976602345705032,9.590809895598795e-06,0.004824609495699406,0.0,0.2299267202615738,0.40588343143463135
Q80 lambda-up 0.00040,3,11,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_final_q80_lr040_rcpo_none_20260831_200130\seed_3,checkpoint_best_return.pt,0.244529128074646,0.2445284158618677,0.15612790139871818,0.0886821374297142,0.10495279729366302,0.0002995559189002961,0.002779184840619564,0.0,0.22368980944156647,0.3959076404571533
Q80 lambda-up 0.00040,3,12,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_final_q80_lr040_rcpo_none_20260831_200130\seed_3,checkpoint_best_return.pt,-0.058257460594177246,-0.058256190206288805,0.17395405609630848,0.16392862796783447,0.10783366858959198,0.00018338004883844405,0.015356640331447124,0.0,0.2229573130607605,0.38668787479400635
Q80 lambda-up 0.00040,3,13,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_final_q80_lr040_rcpo_none_20260831_200130\seed_3,checkpoint_best_return.pt,0.7666916847229004,0.7666906513940128,0.16824905086871553,0.055310655385255814,0.11460284888744354,6.0625233722078065e-09,0.002502048620954156,0.0,0.22509759664535522,0.40291836857795715
